Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA-SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 21 /min|SpO2: n.m. %|vertiefte Atmung|normales AG hörbar,Herzfreq: 115 /min|nur zentral noch tastbar|RR: 58.026,somnolent,mittelweit,verlangsamt,feucht|blass,612,658,400,928,104,117,126,135,345,664,471,130,615,722,831,Pat. klagt über starke Schmerzen|Monitoralarm / Pat. verschlechtert sich klinisch,0
201,freie Atemwege,Atemfreq: 21 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 57 /min|peripher kräftig tastbar|RR: 138.043,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,954,104,117,126,135,345,664,471,130,615,722,833,,1
202,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 57 /min|peripher kräftig tastbar|RR: 144.050,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,906,104,117,126,135,345,664,471,130,615,722,833,,2
203,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 53 /min|peripher kräftig tastbar|RR: 145.052,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,954,104,117,126,135,345,664,471,130,615,722,833,Monitoralarm / Pat. verschlechtert sich klinisch,3
204,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 53 /min|peripher kräftig tastbar|RR: 151.059,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,906,104,117,126,135,345,664,471,130,615,722,833,Monitoralarm / Pat. verschlechtert sich klinisch,4
205,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 49 /min|peripher kräftig tastbar|RR: 152.061,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,920,104,117,126,135,345,664,471,130,615,722,833,Monitoralarm / Pat. verschlechtert sich klinisch,5
206,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 49 /min|peripher kräftig tastbar|RR: 158.068,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,906,104,117,126,135,345,664,471,130,615,722,833,Monitoralarm / Pat. verschlechtert sich klinisch,6
207,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 47 /min|peripher kräftig tastbar|RR: 159.070,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,920,104,117,126,135,345,664,471,130,615,722,833,Monitoralarm / Pat. verschlechtert sich klinisch,7
208,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 47 /min|peripher kräftig tastbar|RR: 165.077,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,906,104,117,126,135,345,664,471,130,615,722,833,Monitoralarm / Pat. verschlechtert sich klinisch,8
209,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 45 /min|peripher kräftig tastbar|RR: 166.079,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,420,920,104,117,126,135,345,664,471,130,615,722,833,Monitoralarm / Pat. verschlechtert sich klinisch,9
210,,,,,,,,,,,,,,,,,,,,,,,,
211,freie Atemwege,Atemfreq: 21 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 63 /min|peripher tastbar|RR: 120.042,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|blass,612,656,419,954,104,117,126,135,345,664,471,130,615,722,804,,1
212,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 63 /min|peripher tastbar|RR: 126.049,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,419,906,104,117,126,135,345,664,471,130,615,722,804,,2
213,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 59 /min|peripher tastbar|RR: 127.051,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,419,954,104,117,126,135,345,664,471,130,615,722,804,,3
214,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 59 /min|peripher kräftig tastbar|RR: 133.058,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,419,906,104,117,126,135,345,664,471,130,615,722,804,,4
215,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 55 /min|peripher kräftig tastbar|RR: 134.060,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,419,920,104,117,126,135,345,664,471,130,615,722,804,,5
216,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 55 /min|peripher kräftig tastbar|RR: 140.067,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,419,906,104,117,126,135,345,664,471,130,615,722,804,,6
217,freie Atemwege,Atemfreq: 21 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 51 /min|peripher kräftig tastbar|RR: 141.069,"wach, orientiert",mittelweit,verlangsamt,trocken|blass,612,656,419,920,104,117,126,135,345,664,471,130,615,722,804,Monitoralarm / Pat. verschlechtert sich klinisch,7
