Status,Airway,Breathing,Circulation,Bewusstsein,Pupillen,Psyche,Haut,BGA-Oxy,BGA_SBH,Hb,BZ,Gerinnung,Leber,Niere,Infarkt,Lactat,Rö-Extremitäten,Rö-Thorax,Trauma-CT,Ultraschall,EKG,ZVD,Beschreibung,Übergangstabelle
101,freie Atemwege,Atemfreq: 13 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher tastbar|RR: 125.063,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,906,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,0
102,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 131.067,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,1
103,freie Atemwege,Atemfreq: 13 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher tastbar|RR: 126.064,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,906,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,2
104,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 132.068,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,3
105,freie Atemwege,Atemfreq: 13 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 72 /min|peripher tastbar|RR: 127.065,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,906,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,4
106,freie Atemwege,Atemfreq: 15 /min|SpO2: 99 %|normales AG hörbar,Herzfreq: 76 /min|peripher kräftig tastbar|RR: 133.069,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,926,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,5
107,freie Atemwege,Atemfreq: 25 /min|SpO2: 99 %|vertiefte Atmung|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 146.086,"wach, orientiert",mittelweit,aufgeregt,trocken|rosig,612,656,423,906,104,117,126,135,345,573,341,121,615,722,812,Pat. klagt über sehr starke Schmerzen,6
207,freie Atemwege,Atemfreq: 11 /min|SpO2: 98 %|flache Atmung|normales AG hörbar,Herzfreq: 71 /min|peripher tastbar|RR: 114.028,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,7
208,freie Atemwege,Atemfreq: 12 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 76 /min|peripher tastbar|RR: 122.035,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,8
209,freie Atemwege,Atemfreq: 10 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 74 /min|peripher tastbar|RR: 119.035,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,9
210,,,,,,,,,,,,,,,,,,,,,,,,
217,freie Atemwege,Atemfreq: 17 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 75 /min|peripher kräftig tastbar|RR: 131.058,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,7
218,freie Atemwege,Atemfreq: 18 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 81 /min|peripher kräftig tastbar|RR: 139.065,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,8
219,freie Atemwege,Atemfreq: 16 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 79 /min|peripher kräftig tastbar|RR: 136.065,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,9
220,,,,,,,,,,,,,,,,,,,,,,,,
227,freie Atemwege,Atemfreq: 12 /min|SpO2: 98 %|flache Atmung|normales AG hörbar,Herzfreq: 74 /min|peripher tastbar|RR: 117.028,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,7
228,freie Atemwege,Atemfreq: 13 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 79 /min|peripher tastbar|RR: 125.035,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,8
229,freie Atemwege,Atemfreq: 11 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 77 /min|peripher tastbar|RR: 122.035,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,9
230,,,,,,,,,,,,,,,,,,,,,,,,
237,freie Atemwege,Atemfreq: 18 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 79 /min|peripher kräftig tastbar|RR: 134.058,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,7
238,freie Atemwege,Atemfreq: 19 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 85 /min|peripher kräftig tastbar|RR: 142.065,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,8
239,freie Atemwege,Atemfreq: 17 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 139.065,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,9
240,,,,,,,,,,,,,,,,,,,,,,,,
247,freie Atemwege,Atemfreq: 17 /min|SpO2: 98 %|flache Atmung|normales AG hörbar,Herzfreq: 75 /min|peripher kräftig tastbar|RR: 131.058,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,7
248,freie Atemwege,Atemfreq: 18 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 81 /min|peripher kräftig tastbar|RR: 139.065,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,8
249,freie Atemwege,Atemfreq: 16 /min|SpO2: 100 %|flache Atmung|normales AG hörbar,Herzfreq: 79 /min|peripher kräftig tastbar|RR: 136.065,"wach, nicht orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,9
250,,,,,,,,,,,,,,,,,,,,,,,,
257,freie Atemwege,Atemfreq: 23 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 78 /min|peripher kräftig tastbar|RR: 146.085,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. klagt über starke Schmerzen,7
258,freie Atemwege,Atemfreq: 25 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 82 /min|peripher kräftig tastbar|RR: 152.089,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,820,Pat. klagt über starke Schmerzen,8
259,freie Atemwege,Atemfreq: 23 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 78 /min|peripher kräftig tastbar|RR: 147.086,"wach, orientiert",mittelweit,unauffällig,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. klagt über starke Schmerzen,9
260,,,,,,,,,,,,,,,,,,,,,,,,
267,freie Atemwege,Atemfreq: 18 /min|SpO2: 98 %|normales AG hörbar,Herzfreq: 79 /min|peripher kräftig tastbar|RR: 134.058,"wach, orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,7
268,freie Atemwege,Atemfreq: 19 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 85 /min|peripher kräftig tastbar|RR: 142.065,"wach, orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,820,Pat. hat keine Schmerzen,8
269,freie Atemwege,Atemfreq: 17 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 83 /min|peripher kräftig tastbar|RR: 139.065,"wach, orientiert",mittelweit,verlangsamt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,812,Pat. hat keine Schmerzen,9
270,,,,,,,,,,,,,,,,,,,,,,,,
277,freie Atemwege,Atemfreq: 24 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 80 /min|peripher kräftig tastbar|RR: 147.082,"wach, orientiert",mittelweit,aufgeregt,trocken|rosig,612,656,423,912,104,117,126,135,345,573,341,121,615,722,833,Pat. klagt über sehr starke Schmerzen,7
278,freie Atemwege,Atemfreq: 27 /min|SpO2: 100 %|normales AG hörbar,Herzfreq: 82 /min|peripher kräftig tastbar|RR: 151.083,"wach, orientiert",mittelweit,aufgeregt,trocken|rosig,612,656,423,919,104,117,126,135,345,573,341,121,615,722,824,Pat. klagt über sehr starke Schmerzen,8
