Tabelle 0:
Infusion,EK´s
0,0
0,2
0,4
0,6
1000,0
1000,2
1000,4
1000,6
2000,0
2000,2
2000,4
2000,6
3000,0
3000,2
3000,4
3000,6
Tabelle 1:
Infusion,EK´s
0,0
0,2
0,4
0,6
1000,0
1000,2
1000,4
1000,6
2000,0
2000,2
2000,4
2000,6
3000,0
3000,2
3000,4
3000,6
Table-Id: 0 Immer: 102
"Table-Id: 1 'Nicht beatmet:', '352', '332', '342', '322', '272', '252', '262', '242', '312', '292', '302', '282', '232', '212', '222', '202', 'Beatmet:', '752', '732', '742', '722', '672', '652', '662', '642', '712', '692', '702', '682', '632', '612', '622', '602'"
"Table-Id: 2 'Nicht beatmet:', '353', '333', '343', '323', '273', '253', '263', '243', '313', '293', '303', '283', '233', '213', '223', '203', 'Beatmet:', '753', '733', '743', '723', '673', '653', '663', '643', '713', '693', '703', '683', '633', '613', '623', '603'"
"Table-Id: 3 'Nicht beatmet:', '354', '334', '344', '324', '274', '254', '264', '244', '314', '294', '304', '284', '234', '214', '224', '204', 'Beatmet:', '754', '734', '744', '724', '674', '654', '664', '644', '714', '694', '704', '684', '634', '614', '624', '604'"
"Table-Id: 4 'Nicht beatmet:', '355', '335', '345', '325', '275', '255', '265', '245', '315', '295', '305', '285', '235', '215', '225', '205', 'Beatmet:', '755', '735', '745', '725', '675', '655', '665', '645', '715', '695', '705', '685', '635', '615', '625', '605'"
"Table-Id: 5 'Nicht beatmet:', '356', '336', '346', '326', '276', '256', '266', '246', '316', '296', '306', '286', '236', '216', '226', '206', 'Beatmet:', '756', '736', '746', '726', '676', '656', '666', '646', '716', '696', '706', '686', '636', '616', '626', '606'"
"Table-Id: 6 'Nicht beatmet:', '357', '337', '347', '327', '277', '257', '267', '247', '317', '297', '307', '287', '237', '217', '227', '207', 'Beatmet:', '757', '737', '747', '727', '677', '657', '667', '647', '717', '697', '707', '687', '637', '617', '627', '607'"
"Table-Id: 7 'Nicht beatmet:', '358', '338', '348', '328', '278', '258', '268', '248', '318', '298', '308', '288', '238', '218', '228', '208', 'Beatmet:', '758', '738', '748', '728', '678', '658', '668', '648', '718', '698', '708', '688', '638', '618', '628', '608'"
"Table-Id: 8 'Nicht beatmet:', '359', '339', '349', '329', '279', '259', '269', '249', '319', '299', '309', '289', '239', '219', '229', '209', 'Beatmet:', '759', '739', '749', '729', '679', '659', '669', '649', '719', '699', '709', '689', '639', '619', '629', '609'"
"Table-Id: 9 'Nicht beatmet:', '360', '340', '350', '330', '280', '260', '270', '250', '320', '300', '310', '290', '240', '220', '230', '210', 'Beatmet:', '760', '740', '750', '730', '680', '660', '670', '650', '720', '700', '710', '690', '640', '620', '630', '610'"
Table-Id: 10 Immer: 552
